Order_ID,Order_Date,Warehouse,Carrier,Product_Type,Route,Route_Distance_KM,Processing_Days,Transit_Days,Day_of_Week,Month,Season,Delay_Days,Promised_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delay_Risk
ORD00001,2025-04-13,Coimbatore,DTDC,Pharmacy,Chennai-Coimbatore,510,1.6,2.2,Sunday,April,Summer,2,2025-04-17,2025-04-19,Delayed,Medium
ORD00002,2025-12-15,Chennai,Delhivery,Pharmacy,Chennai-Coimbatore,510,1.3,1.1,Monday,December,Winter,0,2025-12-18,2025-12-18,On-Time,Low
ORD00003,2025-09-28,Chennai,DTDC,Pharmacy,Coimbatore-Kochi,190,1.4,1.0,Sunday,September,Monsoon,1,2025-10-01,2025-10-02,Delayed,Medium
ORD00004,2025-04-17,Kochi,BlueDart,Furniture,Chennai-Bangalore,350,2.9,1.0,Thursday,April,Summer,0,2025-04-21,2025-04-21,On-Time,Low
ORD00005,2025-03-13,Bangalore,DTDC,Pharmacy,Chennai-Coimbatore,510,1.3,1.3,Thursday,March,Summer,0,2025-03-16,2025-03-16,On-Time,Low
ORD00006,2025-07-08,Chennai,DTDC,Pharmacy,Coimbatore-Kochi,190,1.2,1.8,Tuesday,July,Monsoon,0,2025-07-11,2025-07-11,On-Time,Low
ORD00007,2025-01-21,Coimbatore,BlueDart,Clothing,Coimbatore-Kochi,190,2.5,1.9,Tuesday,January,Winter,0,2025-01-26,2025-01-26,On-Time,Low
ORD00008,2025-04-13,Coimbatore,Delhivery,Pharmacy,Bangalore-Hyderabad,570,2.1,2.4,Sunday,April,Summer,1,2025-04-18,2025-04-19,Delayed,Medium
ORD00009,2025-05-02,Hyderabad,DTDC,Furniture,Chennai-Bangalore,350,2.3,1.5,Friday,May,Summer,1,2025-05-06,2025-05-07,Delayed,Medium
ORD00010,2025-08-03,Chennai,Ecom Express,Clothing,Hyderabad-Chennai,630,2.5,1.7,Sunday,August,Monsoon,1,2025-08-08,2025-08-09,Delayed,Medium
ORD00011,2025-11-27,Kochi,DTDC,Pharmacy,Coimbatore-Kochi,190,1.1,1.0,Thursday,November,Autumn,1,2025-11-30,2025-12-01,Delayed,Medium
ORD00012,2025-03-29,Bangalore,Delhivery,Clothing,Bangalore-Hyderabad,570,0.5,2.0,Saturday,March,Summer,0,2025-04-01,2025-04-01,On-Time,Low
ORD00013,2025-04-10,Kochi,BlueDart,Furniture,Hyderabad-Chennai,630,2.8,2.1,Thursday,April,Summer,1,2025-04-15,2025-04-16,Delayed,Medium
ORD00014,2025-12-26,Coimbatore,Delhivery,Clothing,Bangalore-Hyderabad,570,1.7,2.5,Friday,December,Winter,1,2025-12-31,2026-01-01,Delayed,Medium
ORD00015,2025-06-01,Kochi,XpressBees,Furniture,Bangalore-Hyderabad,570,1.0,1.2,Sunday,June,Monsoon,1,2025-06-04,2025-06-05,Delayed,Medium
ORD00016,2025-05-11,Coimbatore,DTDC,Grocery,Kochi-Bangalore,550,1.7,3.6,Sunday,May,Summer,1,2025-05-17,2025-05-18,Delayed,Medium
ORD00017,2025-05-30,Coimbatore,DTDC,Pharmacy,Chennai-Bangalore,350,1.5,2.3,Friday,May,Summer,3,2025-06-03,2025-06-06,Delayed,High
ORD00018,2025-11-05,Coimbatore,BlueDart,Furniture,Chennai-Coimbatore,510,1.6,1.1,Wednesday,November,Autumn,1,2025-11-08,2025-11-09,Delayed,Medium
